N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
84,한국가스공사,"41,050","3,100",-7.02%,"5,000","37,894","92,313",11.01,"422,623",3.24,11.63,
85,롯데지주,"35,450",300,-0.84%,200,"37,190","104,909",7.80,"132,221",12.93,4.61,
86,삼성카드,"30,900",150,+0.49%,"5,000","35,800","115,859",7.35,"80,178",6.24,7.53,
87,한미약품,"286,000","3,500",-1.21%,"2,500","35,229","12,318",13.36,"18,449",52.19,8.75,
88,팬오션,"6,590",60,-0.90%,"1,000","35,228","534,570",15.59,"3,833,752",5.36,17.16,
89,일진머티리얼즈,"76,100","2,600",-3.30%,500,"35,090","46,111",10.59,"306,456",49.29,7.85,
90,쌍용C&E,"6,910",330,-4.56%,100,"34,817","503,860",2.97,"1,118,346",23.11,11.12,
91,메리츠금융지주,"26,500","1,150",-4.16%,500,"34,729","131,051",7.02,"137,800",3.75,22.33,
92,한국금융지주,"60,500","2,000",-3.20%,"5,000","33,714","55,726",33.30,"153,473",2.23,27.12,
93,현대미포조선,"84,300",700,-0.82%,"5,000","33,671","39,942",12.90,"167,896",-14.72,-7.11,
94,아모레G,"38,850",950,-2.39%,500,"32,035","82,458",14.93,"81,298",25.33,5.49,
95,메리츠증권,"4,775",265,-5.26%,"1,000","31,505","659,791",12.92,"1,185,079",4.09,15.77,
96,NH투자증권,"9,490",300,-3.06%,"5,000","31,475","331,666",14.24,"481,605",3.79,14.77,
97,삼성증권,"34,650",900,-2.53%,"5,000","30,942","89,300",28.02,"220,709",3.74,16.94,
98,현대차2우B,"83,400","1,200",-1.42%,"5,000","30,429","36,485",59.91,"84,233",4.44,N/A,
99,BGF리테일,"175,500","1,000",+0.57%,"1,000","30,333","17,284",31.10,"24,581",19.23,19.61,
100,두산밥캣,"29,900","1,650",-5.23%,500,"29,974","100,249",24.39,"350,027",8.08,9.19,
101,현대오토에버,"109,000","4,000",-3.54%,500,"29,892","27,424",1.85,"43,902",38.14,7.26,
102,OCI,"124,500","1,000",+0.81%,"5,000","29,692","23,849",15.93,"594,685",3.99,23.93,
103,이마트,"103,500","3,000",-2.82%,"5,000","28,851","27,876",27.74,"74,417",1.26,16.25,
104,GS건설,"32,900","1,450",-4.22%,"5,000","28,156","85,581",27.20,"577,032",7.08,9.32,
105,한미사이언스,"40,650",450,-1.09%,500,"27,896","68,624",1.37,"42,566",57.74,6.37,
106,현대해상,"31,200",100,-0.32%,500,"27,893","89,400",31.13,"212,065",6.07,8.82,
107,롯데쇼핑,"97,700",200,-0.20%,"5,000","27,638","28,289",11.06,"82,710",-13.64,-2.94,
108,제일기획,"23,800",400,-1.65%,200,"27,380","115,041",31.89,"118,188",15.39,15.58,
109,호텔신라,"69,400","1,800",-2.53%,"5,000","27,238","39,248",13.88,"186,916",132.95,4.51,
